Image,Valence,Valence.SD,Arousal,Arousal.SD,Treatment
2352.2,2.09,1.5,6.25,2.1,Disgust
3000,1.59,1.35,7.34,2.27,Disgust
3010,1.71,1.19,7.16,2.24,Disgust
3140,1.83,1.17,6.36,1.97,Disgust
3150,2.26,1.57,6.55,2.2,Disgust
3400,2.67,2.01,6.67,2.29,Disgust
1052,3.5,1.87,6.52,2.23,Fear
1110,3.84,1.89,5.96,2.16,Fear
1302,4.21,1.78,6,1.87,Fear
1930,3.79,1.92,6.42,2.07,Fear
3280,3.72,1.89,5.39,2.38,Fear
5970,4.14,1.77,4.88,2.59,Fear
1463,7.1,1.47,4.46,2.17,Joy
1670,6.81,1.76,3.05,1.91,Joy
2050,8.2,1.31,4.57,2.53,Joy
2091,7.68,1.43,4.51,2.28,Joy
2341,7.38,1.59,4.11,2.31,Joy
2370,7.14,1.46,2.9,2.14,Joy
1440,8.19,1.53,4.61,2.54,Neutral
1460,8.21,1.21,4.31,2.63,Neutral
1510,7.01,2.07,4.28,2.47,Neutral
2221,4.39,1.21,3.07,2.08,Neutral
6930,4.39,1.82,4.88,2.2,Neutral
9090,3.56,1.5,3.97,2.12,Neutral
