"sex","age","sub_of_study_grouped","level_of_educ","urban","eu_active","nat_active","loc_active","not_active","salience","left_right","voting_eu","voting_nat","voting_kom","aff_1","aff_2","aff_3","aff_4","aff_5","aff_6","aff_7","aff_8","aff_9","aff_10","aff_11","aff_12","aff_13","aff_14","aff_15","aff_16","aff_17","aff_18","aff_19","aff_20","dem_eu_1","dem_eu_2","dem_eu_3","dem_eu_4","dem_eu_5","dem_eu_6","dem_eu_7","dem_eu_8","dem_eu_9","dem_eu_10","dem_nat_1","dem_nat_2","dem_nat_3","dem_nat_4","dem_nat_5","dem_nat_6","dem_nat_7","dem_nat_8","dem_nat_9","dem_nat_10","dem_loc_1","dem_loc_2","dem_loc_3","dem_loc_4","dem_loc_5","dem_loc_6","dem_loc_7","dem_loc_8","dem_loc_9","dem_loc_10","input_eu_1","input_eu_2","input_eu_3","input_nat_1","input_nat_2","input_nat_3","input_loc_1","input_loc_2","input_loc_3","trust_eu","trust_nat","trust_loc","soc_trust","int_loc_1","int_loc_2","int_loc_3","int_loc_4","int_loc_5","int_nat_1","int_nat_2","int_nat_3","int_nat_4","int_nat_5","int_eu_1","int_eu_2","int_eu_3","int_eu_4","int_eu_5","ex_nat","ex_eu","ex_loc","eu_int","tv","radio","internet","social_media","read","climate","immigration","abilities","sub_of_study_not_grouped","participant.payoff","iaps.1.player.id_in_group","iaps.1.player.valence_response","iaps.1.player.arousal_response","treatment","iaps.1.player.iaps_image","iaps.1.group.id_in_subsession","iaps.1.subsession.round_number","iaps.2.player.id_in_group","iaps.2.player.valence_response","iaps.2.player.arousal_response","iaps.2.player.iaps_image","iaps.2.group.id_in_subsession","iaps.2.subsession.round_number","iaps.3.player.id_in_group","iaps.3.player.valence_response","iaps.3.player.arousal_response","iaps.3.player.iaps_image","iaps.3.group.id_in_subsession","iaps.3.subsession.round_number","iaps.4.player.id_in_group","iaps.4.player.valence_response","iaps.4.player.arousal_response","iaps.4.player.iaps_image","iaps.4.group.id_in_subsession","iaps.4.subsession.round_number","iaps.5.player.id_in_group","iaps.5.player.valence_response","iaps.5.player.arousal_response","iaps.5.player.iaps_image","iaps.5.group.id_in_subsession","iaps.5.subsession.round_number","iaps.6.player.id_in_group","iaps.6.player.valence_response","iaps.6.player.arousal_response","iaps.6.player.iaps_image","iaps.6.group.id_in_subsession","iaps.6.subsession.round_number","public_goods.1.player.id_in_group","contribution","public_goods.1.player.payoff","public_goods.1.group.id_in_subsession","public_goods.1.group.total_contribution","public_goods.1.group.individual_share","public_goods.1.subsession.round_number","iaps.1.eda","iaps.1.eda.zscore","iaps.2.eda","iaps.2.eda.zscore","iaps.3.eda","iaps.3.eda.zscore","iaps.4.eda","iaps.4.eda.zscore","iaps.5.eda","iaps.5.eda.zscore","iaps.6.eda","iaps.6.eda.zscore","pid","tolerating","tolerating.normalized","concealing","concealing.normalized","adjusting","adjusting.normalized","adjusting_with8","adjusting_with8.normalized","fa.tolerating","fa.concealing","fa.adjusting","fa.tolerating.normalized","fa.concealing.normalized","fa.adjusting.normalized","trust_index"
"Male",21,"filosofi",0,2,1,1,0,"Inactive",3,3,2,1,2,5,4,4,5,3,3,3,3,5,3,5,4,5,3,4,2,4,2,3,4,2,2,2,3,2,3,2,2,2,1,2,2,2,3,1,1,2,2,2,1,3,3,1,2,1,1,2,2,1,1,4,5,3,4,3,3,3,3,3,8,9,5,7,3,4,3,2,2,4,4,4,3,2,4,4,4,5,2,2,3,3,10,1,2,4,4,3,8,9,0,"filosofi",152.5,1,1,3,"Fear",1052,1,1,1,3,2,5970,1,2,1,1,3,1110,1,3,1,2,4,3280,1,4,1,1,2,1930,1,5,1,3,2,1302,1,6,1,100,152.5,1,150,112.5,1,3.58653129390037,11.9187040669811,0.225001347666608,0.736649870612514,0.492529403884016,1.63276736150897,0.933233239526473,3.09518918327489,1.3607303532528,4.52575264960475,0.305927813290596,1.01376245309003,"4a273bfae695cc1e5d5543361236524c6e44e9d66b1a796f777a146386291056",19,70,31,71.875,21,62.5,24,60.7142857142857,8.67,22.98,7.84,65.979381443299,79.6448087431694,51.5625,22
"Female",21,"biologi",0,2,0,1,0,"Inactive",4,8,2,1,2,4,5,5,5,5,1,4,2,5,5,5,3,5,2,5,5,2,1,4,5,5,3,2,5,5,5,1,1,2,4,3,3,2,5,5,5,1,1,2,1,3,3,3,5,5,5,1,1,2,1,1,1,1,2,1,2,3,2,1,2,3,4,2,4,4,4,4,1,4,5,4,5,2,2,1,1,2,1,3,5,1,1,4,99,4,4,1,9,10,0,"molekylær biologi",202.5,2,1,NA,"Fear",1302,1,1,2,NA,5,3280,1,2,2,3,NA,1110,1,3,2,NA,5,1052,1,4,2,3,2,5970,1,5,2,NA,5,1930,1,6,2,50,202.5,1,150,112.5,1,2.94855029439224,6.21759626568666,0.957381556593589,2.0208734032898,1.25089393832155,2.64593456361841,0.044294865428958,0.0838998144604812,0.721464068971496,1.51114425264813,0.660665916846585,1.40699757552308,"66cdfed52c9c87d41eac705b2cbaac2216382c08550ca01f589e57ead52b0b4e",15,50,35,84.375,26,83.3333333333333,28,75,5.54,25.4,10.08,39.0893470790378,90.6648451730419,73.4375,9
"Female",24,"samfundsfag",1,1,1,0,0,"Inactive",4,6,1,1,0,5,4,4,4,5,2,5,2,5,5,5,5,4,2,5,4,5,5,4,3,5,2,3,2,1,1,3,1,1,1,5,2,3,1,1,1,3,1,1,1,5,2,3,1,1,1,3,1,1,1,5,4,3,3,3,5,4,3,3,10,9,10,10,5,5,5,3,1,4,5,2,5,1,5,5,2,5,1,4,3,1,10,1,2,3,1,4,10,10,0,"public policy",195,5,4,1,"Joy",1670,1,1,5,4,1,2050,1,2,5,4,1,1463,1,3,5,3,1,2370,1,4,5,3,1,2341,1,5,5,4,1,2091,1,6,1,80,195,3,180,135,1,0.389692458929361,6.1017925307816,0.33434688993123,5.20870785506433,0.176114243629264,2.75684380044853,0.0225145548239715,0.339076671047214,0.122382492039996,1.8930837068564,0.0611319014918063,0.964362893712859,"80aae1b387d7afd377d71f2128d4bb36c1fdcb08af9b735d8f276e5d192d55ac",18,65,37,90.625,26,83.3333333333333,28,75,7.41,24.77,11.32,55.1546391752577,87.7959927140255,85.546875,29
"Male",22,"økonomi",0,1,0,0,0,"Active",4,4,1,1,1,3,5,5,4,3,2,4,2,4,3,5,1,4,1,5,3,4,3,3,4,3,2,4,1,5,3,1,2,2,1,3,1,5,3,2,4,1,1,1,1,4,1,2,3,2,4,3,1,2,1,4,3,3,3,3,2,4,3,1,7,7,5,8,3,3,2,2,1,4,4,3,4,1,4,3,3,5,1,2,3,1,5,3,3,2,2,2,6,10,0,"matematik-økonomi",190,3,4,NA,"Joy",2370,1,1,3,3,NA,1463,1,2,3,4,NA,2341,1,3,3,5,NA,2050,1,4,3,4,NA,2091,1,5,3,NA,1,1670,1,6,1,100,190,2,200,150,1,1.92192537638039,9.33464399734209,0.756481125959443,3.63564882692327,0.221667672184353,1.06494603046283,1.50167359926352,7.25462828458595,0.0556005814652832,0.281758609223987,0.183427460419885,0.873201376244359,"d8cb999981265d4269c6a4fc8211ffba39039bfd726d2ea76c61ac2400588aa2",17,60,29,65.625,20,58.3333333333333,22,53.5714285714286,7.52,21.53,6.78,56.0996563573883,73.0418943533697,41.2109375,19
"Female",21,"økonomi",0,1,0,0,0,"Active",2,6,0,1,1,1,1,1,2,4,3,1,4,1,1,4,3,1,3,1,2,2,1,2,4,5,5,4,3,2,4,4,3,3,1,5,5,4,3,2,2,3,3,3,1,3,3,3,3,2,2,3,4,4,1,3,3,2,3,3,2,4,4,3,4,6,7,9,2,2,1,1,2,1,3,1,2,2,2,2,1,1,2,3,4,2,6,2,1,2,2,1,6,7,0,"erhvervsøkonomi",190,4,2,3,"Fear",5970,1,1,4,2,5,1302,1,2,4,3,3,1110,1,3,4,1,5,1930,1,4,4,3,2,3280,1,5,4,2,4,1052,1,6,2,100,190,2,200,150,1,0.64448149747691,2.85452923268414,0.268496898810855,1.19622554734166,1.4913125507072,6.66273046001822,0.986502921446029,4.35547472592154,0.407366412167844,1.82398241424484,0.794846923429078,3.54049888496564,"7b988ee04153b734153f0d445b6a27e017391951ce3ade6bcac0ec77c3ceb31d",13,40,14,18.75,11,20.8333333333333,15,28.5714285714286,5.46,7.23,5.36,38.4020618556701,7.92349726775956,27.34375,17
"Female",22,"biologi",0,2,0,0,0,"Active",1,NA,0,1,0,5,5,3,5,4,2,4,3,4,4,3,2,4,3,4,2,2,3,2,2,5,5,5,1,4,5,1,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,1,5,5,1,5,5,5,3,3,1,3,3,1,3,3,1,NA,NA,NA,3,1,1,1,1,4,1,1,1,1,5,1,1,1,1,5,3,5,2,3,1,1,2,1,3,8,3,0,"biologi",175,6,2,4,"Disgust",3140,1,1,6,2,4,2352.2,1,2,6,2,4,3010,1,3,6,2,5,3150,1,4,6,2,4,3400,1,5,6,3,3,3000,1,6,2,100,175,3,180,135,1,0.621439779805108,6.88358467332765,0.774513675363947,8.58587571418082,0.194970384557516,2.16734863858487,0.268948348546173,2.98061830302165,0.0853110401214048,0.940934467624722,0.374810985602217,4.15293156985044,"b34853fcb3cbefa7445385fe6cf001fb015804ae4d6ac8ab1f8cbfda386d689f",13,40,30,68.75,20,58.3333333333333,23,57.1428571428571,5.24,22.34,5.96,36.5120274914089,76.7304189435336,33.203125,NA
"Male",26,"økonomi",1,1,0,1,1,"Inactive",4,4,0,1,1,4,4,4,4,4,5,4,3,4,3,5,5,3,3,3,2,4,2,3,4,4,5,4,3,3,3,2,2,2,4,3,4,3,4,3,3,2,2,2,2,4,2,3,2,3,3,2,2,2,1,2,2,2,3,3,4,2,4,3,8,8,8,10,4,4,4,2,2,4,5,5,3,2,2,4,3,1,3,2,2,2,10,2,1,4,4,3,10,8,0,"oplevelsesøkonomi",171.25,2,3,2,"Disgust",3400,1,1,2,2,2,3010,1,2,2,2,2,3000,1,3,2,2,3,3150,1,4,2,3,2,3140,1,5,2,3,2,2352.2,1,6,2,100,171.25,1,175,131.25,1,2.09762694520333,6.15884824157842,1.49187415801164,4.38045522359515,0.630260946681774,1.84800951929919,1.12754925015565,3.30999727504913,1.05052319337601,3.08349101459383,0.502736989524263,1.4754211483068,"9578b950f2efe73411c327f044aa7aa36aa745a511fb0cbe368ac47d52746707",21,80,27,59.375,22,66.6666666666667,25,64.2857142857143,9.77,18.99,8.92,75.4295532646048,61.4754098360655,62.109375,24
"Male",28,"medicin",0,1,0,0,0,"Active",3,3,0,1,0,2,3,4,3,4,1,2,2,4,3,4,3,2,2,4,4,4,2,3,3,5,5,4,3,4,5,3,2,3,4,2,2,4,2,2,2,3,2,2,1,4,1,4,2,1,1,3,2,2,1,2,2,2,4,3,2,4,3,2,4,7,9,4,2,2,3,1,2,3,4,4,4,1,2,2,1,1,3,99,99,99,99,1,1,4,3,3,10,8,0,"molekylær medicin",190,4,NA,5,"Disgust",3400,1,1,4,2,3,2352.2,1,2,4,1,4,3000,1,3,4,1,4,3010,1,4,4,2,3,3150,1,5,4,1,4,3140,1,6,2,100,190,2,200,150,1,0.827855341151541,8.70399669336516,0.954525861566013,10.0935664558731,0.230344265958008,2.38070423479167,0.177233727844708,1.88742149174605,0.0684437080445479,0.730505370719622,0.238343115871218,2.50347470884636,"a534b841fa6f9eafe9f60ee02ea7f20684e546874fa67df6013ac5c866778373",15,50,24,50,18,50,20,46.4285714285714,6.05,16.24,7.76,43.4707903780069,48.9526411657559,50.78125,20
"Male",22,"biologi",0,1,1,0,1,"Inactive",4,2,1,1,1,3,2,5,4,2,5,5,4,4,2,5,5,1,3,2,1,3,3,5,2,5,4,5,2,2,1,3,1,2,1,5,4,5,2,2,1,3,1,1,1,5,3,5,1,1,1,4,1,1,1,1,3,4,1,2,1,2,2,2,7,1,7,9,4,3,4,2,1,3,3,4,3,1,2,4,2,1,2,5,3,3,5,2,2,3,3,3,10,8,1,"agrobiologi",152.5,5,3,3,"Fear",1302,1,1,5,4,1,1110,1,2,5,3,1,5970,1,3,5,4,2,1930,1,4,5,4,1,1052,1,5,5,3,2,3280,1,6,1,100,152.5,3,150,112.5,1,3.27479586289548,9.00228245207921,0.328357656632107,0.894579044277754,1.07701686123393,2.94988293217921,0.64495489068126,1.76504156479399,0.694182036010558,1.89995184501906,2.07943647003175,5.7011999662172,"845cba951cf8995b6af9d78e3bfb61a8ae38b1fa556af439f83b3843a7af4769",21,80,19,34.375,22,66.6666666666667,26,67.8571428571429,10.33,13.56,10.8,80.2405498281787,36.7486338797814,80.46875,15
"Male",29,"økonomi",2,1,0,0,0,"Active",3,4,1,1,0,2,5,5,3,4,4,4,2,4,4,5,4,2,4,4,4,5,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,4,2,2,1,2,1,2,3,2,3,4,3,3,5,6,8,7,3,4,4,3,4,3,4,4,3,3,3,4,2,3,4,2,3,2,5,3,2,3,4,4,7,7,0,"økonomi",190,3,4,1,"Joy",2370,1,1,3,4,1,1463,1,2,3,3,1,2050,1,3,3,3,1,1670,1,4,3,4,1,2091,1,5,3,4,1,2341,1,6,1,100,190,2,200,150,1,0.340646751712319,16.5997984812167,0.079068943906606,3.93547923233407,0.0295315163634268,1.51491036150268,0.00896809324525077,0.350704346455096,0.00929201388072912,0.454139020780524,0.00675805495424278,0.381213917637302,"86102316357bf209929323847190e9c76643e1a07163bc6a5b7a1377d531cb81",23,90,27,59.375,24,75,26,67.8571428571429,10.51,19.13,10.24,81.786941580756,62.1129326047359,75,19
